Description: 
CoreID: M-2-5
ExptDate: April 19, 2016
 19/04/2016 16:40:24    416     54
    Time     PoolTave    LinearP1    LinearP2    LogPower     Period     SUCRate     PoolTin     CnUpFlow    CnUpCond    PoolTout    N16Power    HdupCond    PriFlow     SecFlow     CnUpTemp    HEPrTout    HEPrDelP    HEPrTin     HEScTin     HEScDelP    HEScTout    PMkUpPmp    CnUpPump    PriPump     SecPump     CoreTout    CoreTin     PowerCal     CnUpPH     PCal*100     Fans        Fan#2      BL#1Pos     BL#2Pos     BL#3Pos     BL#4Pos     RRodPos      SUCPos      RRauto     PumpRmTA    RHinside    TAinside      Fans      Fan#2fix    TAoutsid     SumpT      SumpTIn     SMkUpFlw    MFDCurr      MFDPos     P1MagAdj    P2MagAdj    LPwrComb  
     0.00    7.147e+01   5.148e+01   4.886e+01   4.600e-02  -9.990e+02   4.727e+04   7.209e+01   2.619e+01   1.580e-01   7.189e+01   1.048e+00   2.302e+00   1.699e+03   1.160e+02   0.000e+00   7.216e+01   2.524e+01   7.198e+01   7.065e+01  -3.700e-02   7.068e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.622e+00   5.548e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   7.062e+01   0.000e+00   0.000e+00   4.416e+01   9.126e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.148e-02   4.886e-02   5.017e-02
     1.00    7.147e+01   5.148e+01   4.886e+01   4.600e-02  -9.990e+02   4.727e+04   7.209e+01   2.619e+01   1.580e-01   7.189e+01   1.048e+00   2.302e+00   1.699e+03   1.160e+02   0.000e+00   7.216e+01   2.524e+01   7.198e+01   7.065e+01  -3.700e-02   7.068e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.622e+00   5.548e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -9.500e-02   7.062e+01   0.000e+00   0.000e+00   4.416e+01   9.126e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.148e-02   4.886e-02   5.017e-02
     2.00    7.147e+01   5.150e+01   4.890e+01   4.700e-02  -9.990e+02   4.945e+04   7.214e+01   2.619e+01   1.580e-01   7.186e+01   1.058e+00   2.300e+00   1.698e+03   1.104e+02   0.000e+00   7.217e+01   2.524e+01   7.202e+01   7.077e+01  -4.700e-02   7.062e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.623e+00   5.550e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.061e+01   0.000e+00   0.000e+00   4.416e+01   9.085e+00   0.000e+00   1.971e+01   0.000e+00  -7.871e+02   5.150e-02   4.890e-02   5.020e-02
     3.00    7.150e+01   5.145e+01   4.872e+01   4.600e-02  -9.990e+02   4.989e+04   7.213e+01   2.619e+01   1.560e-01   7.189e+01   1.038e+00   2.299e+00   1.689e+03   1.112e+02   0.000e+00   7.228e+01   2.523e+01   7.199e+01   7.076e+01   0.000e+00   7.052e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.688e+00   5.549e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.060e+01   0.000e+00   0.000e+00   4.414e+01   9.126e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.145e-02   4.872e-02   5.008e-02
     4.00    7.146e+01   5.150e+01   4.869e+01   4.600e-02  -9.990e+02   5.112e+04   7.207e+01   2.619e+01   1.560e-01   7.190e+01   1.038e+00   2.299e+00   1.700e+03   1.284e+02   0.000e+00   7.226e+01   2.512e+01   7.190e+01   7.062e+01  -3.700e-02   7.059e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.638e+00   5.546e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.060e+01   0.000e+00   0.000e+00   4.417e+01   9.003e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.150e-02   4.869e-02   5.010e-02
     5.00    7.146e+01   5.149e+01   4.870e+01   4.600e-02  -9.990e+02   5.019e+04   7.213e+01   2.619e+01   1.700e-01   7.190e+01   1.028e+00   2.299e+00   1.696e+03   1.246e+02   0.000e+00   7.226e+01   2.523e+01   7.191e+01   7.075e+01  -4.700e-02   7.062e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.625e+00   5.545e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.060e+01   0.000e+00   0.000e+00   4.417e+01   9.044e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.149e-02   4.870e-02   5.010e-02
     6.00    7.148e+01   5.123e+01   4.875e+01   4.700e-02  -9.990e+02   5.003e+04   7.214e+01   2.620e+01   1.820e-01   7.191e+01   1.028e+00   2.299e+00   1.689e+03   1.207e+02   0.000e+00   7.218e+01   2.518e+01   7.201e+01   7.068e+01  -2.200e-02   7.059e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.669e+00   5.493e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.059e+01   0.000e+00   0.000e+00   4.417e+01   9.044e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.123e-02   4.875e-02   4.999e-02
     7.00    7.146e+01   5.141e+01   4.884e+01   4.700e-02  -9.990e+02   4.846e+04   7.211e+01   2.620e+01   1.860e-01   7.193e+01   9.980e-01   2.299e+00   1.696e+03   1.140e+02   0.000e+00   7.218e+01   2.518e+01   7.193e+01   7.065e+01  -4.400e-02   7.067e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.683e+00   5.492e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.058e+01   0.000e+00   0.000e+00   4.415e+01   9.003e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.141e-02   4.884e-02   5.012e-02
     8.00    7.144e+01   5.139e+01   4.877e+01   4.600e-02  -9.990e+02   5.341e+04   7.212e+01   2.620e+01   1.770e-01   7.193e+01   9.980e-01   2.299e+00   1.691e+03   1.167e+02   0.000e+00   7.229e+01   2.516e+01   7.195e+01   7.066e+01  -6.000e-03   7.068e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.642e+00   5.439e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.058e+01   0.000e+00   0.000e+00   4.418e+01   9.085e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.139e-02   4.877e-02   5.008e-02
     9.00    7.145e+01   5.149e+01   4.892e+01   4.700e-02  -9.990e+02   4.800e+04   7.211e+01   2.619e+01   1.720e-01   7.192e+01   1.028e+00   2.300e+00   1.688e+03   1.326e+02   0.000e+00   7.226e+01   2.510e+01   7.197e+01   7.065e+01  -3.000e-03   7.062e+01   0.000e+00   1.000e+00   1.000e+00   0.000e+00   7.213e+01   7.191e+01   0.000e+00   6.631e+00   5.438e+00   0.000e+00   0.000e+00   1.695e+01   1.695e+01   1.695e+01   1.695e+01   1.096e+01   0.000e+00   1.000e+00  -3.277e+04  -1.000e-01   7.057e+01   0.000e+00   0.000e+00   4.418e+01   9.044e+00   0.000e+00   1.970e+01   0.000e+00  -7.871e+02   5.149e-02   4.892e-02   5.021e-02
